"cluster_number","position_number","(2, 5]","(5, 10]","[0]","(0, 2]","(10, 15]","(15, 20]","(20, 30)"
0,94,0,0.0017347399447149047,0,0,0.0028164408002854086,0,0
0,95,0,0.0040594082881375716,0,0,0,0,0
0,8288,0.0017112492105402423,0.0016652545049404125,0,0,0.0027036275638098878,0,0
0,97,0,0,0.052290826917723396,0,0,0,0
0,98,0.0034801809787391447,0,0,0.00639769709014088,0,0,0
0,99,0.0026360519753853948,0,0,0,0,0,0
0,100,0.003908342045524087,0.003803294200557914,0,0,0,0,0
0,101,0,0,0.006440512406288512,0,0,0,0
0,102,0,0.0046912228076920574,0,0,0,0,0
0,103,0.0024245487836225743,0,0,0,0,0,0
0,104,0,0.007219426716029095,0,0,0,0,0
0,8297,0,0,0.004289481895594497,0,0,0,0
0,106,0,0.004920996986027996,0,0,0,0,0
0,107,0,0,0,0,0,0,0
0,8300,0,0,0.04672797299030601,0,0,0,0
0,109,0.005077641100127605,0,0,0,0,0,0
0,8302,0,0,0,0.005915792634000399,0,0,0
0,111,0,0,0.008749859484240568,0,0,0,0
0,112,0.004331973525982991,0.0042155393761428624,0,0,0,0,0
0,8305,0.002533628687998232,0,0,0,0,0,0
0,114,0,0,0.004159497595727997,0,0,0,0
0,8307,0.003549984035619299,0.0034545680847474463,0,0,0,0,0
0,116,0,0.008431078752285725,0,0,0,0,0
0,8309,0,0,0,0,0,0,0
0,118,0.003312685637516405,0,0,0.00608978653500041,0,0,0
0,8311,0,0,0.04672797299030601,0,0,0,0
0,120,0,0,0.007224390561001258,0,0,0,0
0,121,0,0,0,0,0,0.010546286289386782,0
0,123,0,0.005768632830511286,0,0,0,0,0
0,124,0.005340277708754894,0,0,0,0,0,0
0,125,0,0,0.014940236262206684,0,0,0,0
0,126,0,0,0.06863171032951196,0,0,0,0
0,127,0,0.005002673284551281,0,0,0,0,0
0,128,0,0,0,0.014324403547736815,0,0,0
0,129,0,0.005505224938707118,0,0,0,0,0
0,130,0,0.0026152803938760496,0,0,0,0,0
0,8323,0.004975680435466407,0,0,0,0,0,0
0,8324,0,0.00381532994169892,0,0,0,0,0
0,133,0.002687515029134784,0,0,0,0,0,0
0,8327,0.012266776519120153,0,0,0,0,0,0
0,136,0,0,0.00535662129401069,0,0,0,0
0,137,0.008724960763599547,0,0,0,0,0,0
0,138,0,0,0,0,0,0,0
0,139,0.0052721039507707896,0.0051304011130930164,0,0,0,0,0
0,140,0,0,0.012201192947468792,0,0,0,0
0,142,0,0,0,0,0,0,0
0,143,0,0.002137667130455423,0,0,0,0,0
0,144,0.002784144782991316,0,0,0,0,0,0
0,145,0,0.0029991150785493997,0,0,0,0,0
0,8338,0,0,0.0036481972268179114,0,0,0,0
0,147,0,0.005196742506796805,0,0,0,0,0
0,8340,0.0016519259045748474,0.0016075256821024783,0,0,0,0,0
0,8341,0.002311463485878984,0.00224933630891205,0,0,0,0,0
0,150,0,0.005505224938707118,0,0,0,0,0
0,151,0,0,0.007843624037658509,0,0,0,0
0,152,0.0030743037926330907,0,0,0,0,0,0
0,154,0.0037430345269822826,0,0,0.006880906840151521,0,0,0
0,155,0.004858605601690727,0,0,0.008931686918000602,0,0,0
0,158,0.0038717013388472987,0,0,0,0,0,0
0,160,0,0,0.021322473112081384,0,0,0,0
0,161,0.0021324344723427464,0.002075119210975661,0,0,0,0,0
0,8354,0,0,0,0.004241303843743303,0,0,0
0,163,0,0.002877432605195367,0,0,0,0,0
0,8356,0.0016925470333758682,0.0016470550021541787,0,0,0,0,0
0,8357,0,0,0.008545582609122112,0,0,0,0
0,8358,0.009043389988548435,0.008800323077203348,0,0,0,0,0
0,167,0.005555804611798814,0.005406476509313268,0,0,0,0,0
0,168,0,0.00418626479714187,0,0,0,0,0
0,170,0,0,0,0,0,0,0
0,171,0,0.002425843584661688,0,0,0,0,0
0,172,0.0034801809787391447,0,0,0,0,0,0
0,175,0,0.00463709331375715,0,0.008759923708039052,0,0,0
0,8368,0.0034801809787391447,0,0,0.00639769709014088,0,0,0
0,177,0,0,0.008646514687182609,0,0,0,0
0,8370,0,0,0,0,0,0,0
0,180,0.0029710897564295814,0,0,0,0,0,0
0,181,0.003945682893092789,0,0,0,0,0,0
0,8374,0.0025079846729375212,0,0,0,0,0,0
0,8375,0,0.0018491476404553049,0,0,0,0,0
0,184,0,0.0022834171620773843,0,0,0,0,0
0,185,0.003612082881723427,0,0,0,0,0,0
0,8378,0,0,0.006635089820375778,0,0,0,0
0,187,0.003277630763045332,0,0,0.00602534434944485,0,0,0
0,189,0.007841420433108452,0,0,0,0,0,0
0,190,0.003970975732151075,0,0,0,0,0,0
0,191,0,0.0056076477282644595,0,0,0,0,0
0,8384,0.0017800925695849647,0,0,0.003272385293232979,0,0,0
0,193,0.004692971319814907,0,0,0,0,0,0
0,194,0.004783569221741836,0,0,0,0,0,0
0,195,0,0,0,0,0,0,0
0,197,0.004257540991172287,0.004143107428099171,0,0,0,0,0
0,8390,0.0022283173173221864,0.002168424930893631,0,0.0040963672016009955,0,0,0
0,199,0.0029639818861988887,0,0,0,0,0,0
0,8393,0,0.00441627934643538,0,0,0,0,0
0,202,0.004622926971757968,0,0,0,0,0,0
0,8395,0,0,0.04575447355300797,0,0,0,0
0,204,0,0.004515521578939546,0,0,0,0,0
0,205,0.004062112880102084,0,0,0,0,0,0
0,206,0.008786839917951315,0,0,0.016153050809150023,0,0,0
0,8399,0,0,0.004692766518257228,0,0,0,0
0,210,0,0.002137667130455423,0,0,0,0,0
0,8403,0.002533628687998232,0.00246553018727374,0,0,0,0,0
0,212,0,0,0.03008513329512853,0,0,0,0
0,8405,0,0,0.03921812018829254,0,0,0,0
0,214,0,0.004005462663046042,0,0,0,0,0
0,216,0.0041998116218004596,0,0,0,0,0,0
0,217,0,0.005002673284551281,0,0,0,0,0
0,8410,0.0018828942681324249,0,0,0,0,0,0
0,219,0,0.0026792094701707974,0,0,0.0043498363471074645,0,0
