"cluster_number","position_number","Bachelor","Master","Doctor"
0,8243,0.003089419754813243,0,0
0,52,0.0035881056207476645,0,0
0,8245,0.0029881273038357596,0,0
0,54,0.0029783621819278,0.0023767342654384864,0
0,8247,0.0018869126866871777,0,0
0,56,0,0.001939415160597805,0.002904484724737248
0,57,0.002812897616265144,0,0
0,58,0.0025528818702238282,0,0
0,59,0.002574516462344369,0.002054465212497675,0
0,60,0.0035881056207476645,0.002863309784347153,0
0,8202,0.004180636824173884,0,0
0,62,0.003142685612654851,0.0025078644318075063,0
0,63,0.002567264303295512,0,0
0,65,0.012315930103647389,0,0
0,66,0,0.002635074946464409,0.003946310767306044
0,67,0.002812897616265144,0,0
0,68,0.004953145802553841,0,0
0,8261,0.0017195826937168052,0,0
0,70,0.003175535984912567,0,0
0,72,0.003027836636777099,0,0
0,73,0.0028932661195870055,0,0
0,74,0.0021751284669926175,0,0.002599479168917585
0,75,0.0013767051777491038,0,0
0,8268,0.0028216062776158105,0.0022516429883101454,0
0,77,0,0.0021840260817542847,0.003270816131460865
0,78,0.002812897616265144,0,0
0,79,0.0007451993684954267,0.0005946694073787219,0
0,80,0,0.0016604581854433261,0
0,83,0.0020480423093705773,0,0
0,84,0.003945362890345917,0,0
0,85,0.018599567911630747,0,0
0,8278,0.0022841574628318464,0,0
0,87,0.002190814489591122,0,0
0,88,0.003363021504316999,0,0
0,8283,0.0025891443967895078,0,0
0,92,0.010356577587158031,0,0
0,93,0,0.0015640444843530686,0
0,94,0.0013113364426905133,0.0010464470290995351,0
0,95,0.0030686155813801574,0,0
0,8288,0.0012588105354556722,0.0010045313331825648,0.0015043947123984365
0,97,0.02169949589690254,0,0
0,98,0,0.00204292327310162,0
0,99,0.001939103888659376,0.0015474057132429295,0
0,100,0.0028750120746684755,0.002294260836669328,0
0,101,0.0026726651837827176,0,0
0,102,0.0035462211193381587,0,0
0,103,0.0017835202107043184,0.0014232498732371366,0
0,104,0.0054573582495204,0,0
0,8297,0.0017800367727927866,0,0
0,106,0.0037199135823261504,0,0
0,107,0.004746764727447431,0,0
0,8300,0.01939103888659376,0,0
0,109,0.0037351591297946998,0.0029806585460007253,0
0,8302,0.00236721773420755,0.001889040740842018,0
0,111,0.003630991345298433,0,0
0,112,0.0031866392575870864,0,0
0,8305,0.0018637603837830406,0,0
0,114,0.0017260962645263386,0,0
0,8307,0,0.0020838988115305926,0
0,116,0,0.005085878917651587,0
0,8309,0.002029796943585538,0,0
0,118,0,0.0019446007626314889,0.002912250726675048
0,8311,0.01939103888659376,0,0
0,120,0.002997956669966798,0,0
0,121,0,0.0027444554159402903,0.004110119893496106
0,123,0.004360664247224434,0,0
0,124,0.003928357015818564,0,0
0,125,0.006199855970543583,0,0
0,126,0.028480588364684586,0,0
0,127,0.0037816548865971236,0.003017762179353431,0
0,128,0.005731942312389351,0,0
0,129,0.004161547158310076,0,0
0,130,0,0.0015776153692498415,0
0,8323,0.0036601559344172957,0,0
0,8324,0.0028841102141452745,0,0
0,133,0,0.0015776153692498415,0
0,8327,0.009023552749206997,0,0
0,136,0.002222875189438797,0,0
0,137,0.00641816075823878,0,0
0,138,0.0039625166420430725,0.003162089935757291,0
0,139,0.003878207777318752,0.003094811426485859,0
0,140,0,0.0040404482512454275,0.0060510098432026
0,142,0.0024303435404530844,0.001939415160597805,0.002904484724737248
0,143,0.0016159199072161468,0,0
0,144,0.0020480423093705773,0,0
0,145,0.0022671115116166835,0.0018091559333934747,0
0,8338,0,0,0.0018092720461403123
0,147,0.003928357015818564,0,0
0,8340,0.0012151717702265422,0.0009697075802989025,0.001452242362368624
0,8341,0.0017003336337125126,0.0013568669500451061,0
0,150,0.004161547158310076,0,0
0,151,0.003254924384535381,0,0
0,152,0.002261485924739223,0,0
0,154,0.0027534103554982077,0.002197222613970323,0.003290579370925885
0,155,0.0035740346183133595,0.002852081118526184,0
0,158,0.002848058836468459,0,0
0,160,0.00884833813271754,0,0
0,161,0.0015686382576074126,0,0
0,8354,0.0016971672768527127,0,0
0,163,0.0021751284669926175,0,0
0,8356,0.0012450530432649,0,0
0,8357,0,0.0028298859347244236,0
0,8358,0.006652400201970122,0,0
0,167,0.004086900572510792,0,0
0,168,0.003164509818298287,0,0
0,170,0.0021960935606503778,0.0017524835788534385,0
0,171,0.0018337602166396516,0.0014633414189621267,0
0,172,0,0.00204292327310162,0
0,175,0.0035053031833457956,0.002797233404708373,0
0,8368,0,0.00204292327310162,0
0,177,0.0035881056207476645,0.002863309784347153,0
0,8370,0.0024303435404530844,0.001939415160597805,0.002904484724737248
0,180,0.002185560737817522,0,0
0,181,0.0029024803428977924,0,0
0,8374,0,0.0014722281077412488,0
0,8375,0.0013978202878372804,0.001115461173656713,0
0,184,0.0017260962645263386,0,0
0,185,0.002657081130232964,0,0
0,8378,0.0027534103554982077,0,0
0,187,0,0.0019240229767835367,0.0028814332586679045
0,189,0.005768220428290549,0,0
0,190,0.002921085986121496,0,0
0,191,0.004238971291487938,0,0
0,8384,0.0013094523386061878,0.0010449435132531277,0
0,193,0.0034521925290526773,0,0
0,194,0.0035188371724706826,0.0028080335336840806,0.00420533502616397
0,195,0,0.002797233404708373,0.0041891606606787235
0,197,0.003131886005738511,0.0024992463409765527,0
0,8390,0,0,0.001958960021180698
0,199,0.002180332123612217,0,0.0026056980186039904
0,8393,0.0033383839841388523,0.0026640318140079737,0
0,202,0.0034006672674250253,0.0027137339000902123,0
0,8395,0.018987058909789724,0,0
0,204,0.003413403848950962,0,0
